year 2016
style
[6, 10, 4, 735, 5, 3833, 1580, 22, 12, 194, 2558, 3, 119, 12, 70, 70, 1620, 149, 1, 7517, 2, 617, 211, 326, 1, 10, 454, 13, 56, 1314, 1401, 7, 74, 408, 40, 281, 2, 15, 2, 2728, 8988, 67, 1, 49, 19956, 14, 1922, 17, 8, 2, 1162, 183, 156, 512, 19, 2, 765, 425, 7652, 34, 43, 7564, 9, 29, 2, 307, 26, 4, 103, 55, 1, 2, 308, 26, 105, 1, 416, 1237, 24, 3, 27, 15, 1, 7554, 463, 1, 15, 1873, 9, 9, 16, 92, 53, 3255, 1238, 1, 469, 8299, 1, 7, 1030, 513, 194, 178, 307, 5502, 8, 3888, 1818, 142, 1, 79, 2, 16, 643, 31043, 47878, 3, 1304, 42, 45, 5, 3, 33, 41, 2]
African	[0, 0, 2, 1, 0, 0, 20, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 0, 0, 7, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 1, 0, 0, 3, 56, 0, 0, 0, 48, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 11, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 12, 0, 0, 4, 6, 0, 0, 0, 0, 0, 3, 28, 0, 0, 3, 0, 1, 0, 0, 0, 5, 1, 8, 0, 8, 4, 0, 0, 0, 0, 0, 0, 119, 72, 0, 0, 0, 0, 0, 0, 0, 0, 1]
Chanson	[0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 24, 0, 8, 0, 0, 0, 4, 1, 0, 37, 0, 0, 0, 0, 0, 0, 6, 0, 0, 12, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 454, 7, 0, 0, 47, 0, 3, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 19, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 16, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 41, 0, 0, 3, 1, 0, 0, 1, 6, 0, 2, 4, 2, 0, 1, 0, 0, 0, 27, 16, 0, 2, 0, 0, 0, 0, 0, 0, 0]
Classical	[0, 0, 0, 3, 0, 26, 16, 1, 0, 0, 30, 0, 1, 0, 0, 0, 2, 0, 0, 55, 0, 2, 2, 0, 0, 0, 2, 0, 0, 14, 10, 0, 0, 0, 0, 0, 0, 0, 0, 15, 137, 1, 0, 0, 201, 0, 25, 0, 0, 0, 3, 7, 4, 2, 3, 0, 10, 3, 77, 0, 0, 96, 0, 1, 0, 7, 0, 0, 4, 0, 0, 0, 2, 1, 2, 0, 1, 8, 0, 0, 0, 0, 0, 30, 2, 0, 0, 11, 0, 0, 0, 0, 0, 20, 16, 0, 2, 89, 0, 0, 2, 4, 0, 1, 7, 22, 0, 33, 4, 3, 0, 5, 0, 1, 10, 291, 351, 0, 19, 1, 0, 0, 0, 0, 0, 0]
Disco	[0, 0, 0, 12, 0, 80, 68, 0, 0, 2, 40, 0, 1, 0, 3, 3, 23, 3, 0, 77, 0, 13, 2, 1, 0, 1, 4, 0, 0, 6, 16, 0, 2, 1, 0, 1, 0, 0, 0, 37, 283, 1, 0, 0, 387, 0, 84, 1, 0, 0, 17, 3, 1, 2, 1, 0, 9, 32, 295, 0, 2, 195, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 6, 1, 0, 0, 0, 0, 158, 1, 0, 0, 47, 0, 0, 1, 1, 0, 126, 16, 0, 10, 138, 0, 0, 37, 6, 0, 0, 0, 108, 0, 87, 63, 2, 0, 1, 0, 0, 5, 919, 651, 0, 7, 3, 0, 0, 0, 0, 0, 0]
Dubstep	[0, 0, 0, 7, 0, 38, 6, 3, 0, 2, 14, 0, 0, 0, 0, 0, 5, 2, 0, 112, 0, 1, 1, 0, 0, 0, 4, 0, 0, 5, 6, 0, 0, 0, 0, 1, 0, 0, 0, 3, 38, 0, 0, 0, 61, 0, 2, 1, 0, 0, 37, 1, 4, 1, 0, 0, 2, 1, 17, 0, 0, 102, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 45, 13, 0, 0, 3, 0, 0, 0, 0, 0, 24, 2, 0, 2, 38, 0, 0, 4, 0, 1, 2, 1, 14, 0, 8, 7, 1, 0, 0, 0, 0, 3, 498, 514, 0, 5, 0, 1, 0, 0, 0, 0, 0]
Electro	[0, 0, 0, 17, 0, 167, 78, 0, 0, 3, 219, 0, 5, 1, 15, 15, 31, 0, 1, 294, 0, 7, 3, 11, 0, 0, 28, 0, 0, 59, 35, 0, 1, 0, 0, 8, 0, 0, 0, 56, 486, 5, 0, 0, 952, 0, 79, 0, 0, 0, 67, 3, 3, 5, 0, 0, 45, 3, 267, 0, 1, 274, 0, 0, 0, 17, 0, 0, 5, 1, 0, 0, 4, 0, 3, 0, 2, 71, 0, 0, 0, 0, 0, 638, 11, 0, 0, 81, 0, 0, 1, 5, 0, 75, 33, 0, 21, 167, 0, 2, 79, 14, 5, 5, 17, 175, 0, 174, 65, 5, 0, 1, 0, 0, 10, 1056, 1422, 0, 17, 2, 0, 0, 0, 1, 0, 0]
Europop	[0, 0, 0, 5, 0, 8, 11, 0, 0, 0, 19, 0, 2, 0, 5, 5, 7, 5, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 7, 5, 0, 0, 0, 0, 2, 0, 0, 0, 49, 27, 0, 0, 0, 42, 0, 29, 0, 0, 0, 4, 0, 0, 2, 0, 0, 1, 1, 71, 0, 0, 11, 0, 0, 0, 4, 0, 0, 3, 0, 0, 0, 4, 0, 5, 0, 0, 15, 0, 0, 0, 0, 0, 8, 1, 0, 0, 3, 0, 0, 0, 0, 0, 30, 34, 0, 7, 226, 0, 0, 105, 11, 0, 0, 4, 20, 0, 18, 10, 6, 0, 1, 0, 0, 75, 68, 21, 0, 22, 0, 0, 0, 0, 0, 0, 0]
Folk	[0, 0, 0, 18, 0, 69, 46, 0, 0, 7, 35, 0, 9, 0, 12, 12, 38, 18, 0, 251, 0, 15, 11, 1, 0, 0, 21, 0, 3, 54, 33, 0, 1, 1, 0, 10, 0, 2, 0, 72, 193, 6, 0, 0, 427, 0, 31, 0, 0, 0, 16, 5, 0, 7, 1, 0, 24, 11, 135, 0, 0, 128, 0, 0, 0, 16, 0, 0, 5, 4, 0, 0, 15, 0, 9, 0, 2, 18, 1, 0, 1, 3, 0, 60, 21, 0, 0, 67, 0, 0, 0, 0, 0, 87, 81, 0, 23, 175, 0, 0, 175, 19, 7, 1, 16, 113, 0, 67, 30, 3, 0, 3, 0, 0, 15, 758, 1253, 0, 26, 1, 1, 0, 0, 1, 0, 0]
Folk Rock	[0, 0, 0, 12, 0, 26, 13, 0, 0, 0, 15, 0, 5, 0, 0, 0, 15, 2, 0, 141, 0, 9, 1, 0, 0, 0, 10, 0, 2, 29, 19, 0, 0, 0, 0, 0, 0, 0, 0, 45, 75, 3, 0, 0, 189, 0, 14, 0, 0, 0, 8, 2, 0, 2, 0, 0, 14, 7, 64, 0, 0, 100, 0, 0, 0, 7, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 22, 8, 0, 0, 34, 0, 0, 0, 0, 0, 37, 20, 0, 9, 88, 0, 0, 16, 6, 2, 1, 7, 57, 0, 23, 11, 2, 0, 1, 0, 0, 7, 368, 704, 0, 9, 0, 0, 0, 0, 1, 0, 0]
Freestyle	[0, 0, 0, 2, 0, 3, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 14, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 8, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0, 0, 0, 0, 0, 18, 24, 1, 1, 0, 0, 0, 0, 0, 0, 0]
